date,likesCount,profileName,commentsCount,text
2022-09-07T17:12:32.000Z,2,4dca617d86b3fdce80ba7e81fb16e048c9cd9798cdfd6d352303be10b372bb85,,"Neat comparison I have not heard it before.
 I would say that CO2 is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere."
2022-09-08T14:51:13.000Z,0,518ab97f2d115ba5b6f03b2fba2ef2b120540c9681288b3c2c2d6abb7187f432,,An excellent way to visualise the invisible! Thanks
2022-09-07T17:19:41.000Z,1,d82e8e24eb633fd625b0aef9b3cb625cfb044ceb8483e1700531f795584253ab,3.0,Does the CO2/ghg in the troposphere affect the stratosphere? Being warmer the troposphere must be expanding?
2022-09-08T00:51:30.000Z,4,37a509fa0b5177a2233c7e2d0e2b2d6916695fa9fba3f29836974fb762ded792,,excellent post! I defo feel the difference - one i can drink and the other makes me feel sick.
2022-09-07T19:06:20.000Z,16,e54fbbd42a729af9d04d9a5cc1f9bbfe8081a31c219ecb5a4a60114bdb7b1d5f,26.0,"Yes, and carbon dioxide does not harm the Earth like you people are making it out to be. Fake climate change rhetoric, as usual."
2022-09-15T17:10:57.000Z,4,191055fb869d185092abf1405f0b2f4abe73bcaa9beb854fa15c6797d2780f26,1.0,Excellent example...very relatable to the Gen Pop. Complex topics...explained in understandable ways. 👍⚡
2022-09-07T17:31:25.000Z,10,a9117191b443a0494349d21508a3de7df675250b786612c638dc58b9921827a9,,I am so proud of whoever created this content. Please feel very very good about yourself today
2022-09-07T18:07:53.000Z,1,39c3ec5a079b6b1a62577a1d13d4e8f894c5525575b85d71cdddddc11237d293,21.0,Has the Earth ever had a concentration of over 1000 ppm?
2022-09-07T22:45:56.000Z,0,1492464caa9b6757f6e740a6cc8f75a44614645e9f6c64c91496b01a8045c3d5,,"Yes, and not even half a cup later that poor soul is gonna know it too."
2022-09-07T16:30:55.000Z,4,31fd4cfea1a56eb21ad6a86ce4ed94e6a15e654b3557bfe451f0d70f45e39489,8.0,Historical co2 data would make it an interesting post
2022-09-07T16:13:39.000Z,6,7090e32a9d6c07497fee968b4b690e3f70fe975f0738009494d4182ff41872b3,28.0,why the northern hemisphere warm more than the southern hemisphere?
2022-09-07T17:10:34.000Z,1,f739631316ff10bf3563ed8b74394e9cec90985eb5f43216bfaab02a7fc14e13,6.0,So what are we gonna do about it?
2022-09-07T16:48:17.000Z,3,e4344ba4ed5d344c3f1729d4560b2c7161cf3c5f25b9a35f03851089ffe20bcd,,Yes. I fall asleep on decaf and stay awake with real coffee. You can keep your brown sadness water thanks.
2022-09-07T16:29:02.000Z,18,c5d2ca04f80c06207548cd1015962461056cab5bc4c5ac0a7bc06b1a7fe91571,1.0,Plus you can literally measure the heat retention effect of CO2 in a glass container in a lab
2022-09-07T22:24:21.000Z,3,7dbc924eeb31d7707805068abc66e3c826bc723beb9c9c181b45e050afb3cbfe,,"The two most abundant gases (nitrogen and oxygen) comprise 99% of the atmosphere. Neither traps heat. By definition, all greenhouse gases are trace gases because they live in the remaining 1%. It's too bad the CO2 is naturally so sparse. If CO2 were naturally abundant like oxygen, our emissions wouldn't matter. We'd have a negligible impact. But because CO2 is naturally sparse, our emissions matter a lot. In fact, one-third of the CO2 in the atmosphere is due to human activity. We have to stop emitting and pull CO2 we've already emitted out of the atmosphere to stabilize the climate."
2022-09-07T17:30:50.000Z,14,2934a40d214c1157ae1fb62b3d87985a8293062e3c16c1e32120037532deec5f,,That's an excellent way to illustrate 400 ppm.
2022-09-07T17:29:49.000Z,40,3f5005789980dd072061c992809a9c3a3f514e67c5fa1a633ecd5c704bc55ba2,3.0,"I find it interesting when people claim that CO2 can't possibly be the cause of the Earth warming because it is just a trace gas, yet the same people would acknowledge that this trace gas is responsible for all plant life on Earth."
2022-09-07T17:15:55.000Z,1,68a91b0edcadd41dcaf0c54f6381bc42c0f2e95194227c55b807e9c303e62fa4,,Love this post! Great pedagogy 🙏
2022-09-07T17:26:16.000Z,0,866f4b9252aa97aca2b2aabe8bab34a4161cfaf8da9ea6fb24b664b140dc319e,1.0,Kathy Schulz
2022-09-07T16:25:32.000Z,0,9449f8bb61ec1dcf0636d574093c603ab113df0e1433a80a149879ab2379a272,,Before of after I drink it?
2022-10-08T11:58:59.000Z,0,80ca6ffc6f071ab34a5caec625f6feefeea07d1ab4411d13fe3e939286b70efc,,"That’s a good analogy. 

I have thought that another one (involving the absorption of EM waves, though in the visible) might be: try putting a small amount (0.4cc) of blue die into a litre bottle of water. All of the water then has a faint blue tinge."
2022-09-07T16:05:17.000Z,0,70c6b80646a524d7d898a81a5775b3b03866301a24296f58ceb320ef50e0f678,,Great advice!
2022-09-07T16:25:20.000Z,0,bf9a9cff50b3dfa3450409370c38f53fd40dad73cc3186c041553c89ed9a81f5,,Thanks for sharing
2022-09-15T16:05:08.000Z,0,285610776eb4075cb711d30def13324b5b0e1e9cf5c4b7cd92fe870e217892fe,,Excellent
2022-09-08T21:32:25.000Z,0,c1e7b993d26f430013c1600b573fa4deec951f671abc1132623c6375250a90fb,,"Not if its good coffee beans, 
Not until I get jittery🤣🤣🤣🤣"
2022-09-10T14:03:08.000Z,1,2ce6b8f5325d3c0bf040cb0217f44291b9fcff904147bf5d50630192eb08a302,,💖💖💖
2022-09-10T21:41:15.000Z,0,762d3f1c9ffca107e249668bbbb75da8f133bde1c4bdf60f1a29270f6d4b259d,,*********
2023-08-13T18:38:05.000Z,0,c3f760435cafb2e83b2e474e3882f91607c3b4a46cc265bd74b7f7ccf33d9f9d,,Hlw
2022-09-07T17:05:34.000Z,0,b2a23f1cfa67df6b22f01fdc3a43e7146257b24da6cd0f5d225cd4609835f41b,,decaf is like mouth to mouth were as caffeinated is a defibrillator electric jolt.
2022-11-30T10:18:53.000Z,4,faad4f0032e82f1adfa454ce19e0a19d70cf09bd39d25e75b09ae160a4a67699,7.0,"Maybe this is what happened to Mars...we messed it up, came here and doing it all over again...meant as a joke, but I wouldn't be surprised."
2022-11-30T10:13:48.000Z,1,bd0da9a2a0634beab3f7fdd3164cd7a853c7d4c7aba33b98103349859e9a59ac,1.0,"It is not the average temperature that is important,but the difference between night and day and the seasons."
2022-11-29T18:34:36.000Z,21,bc553b275dd49698792340c8f4378b4d9a702897830afab6c7064d85ffa65733,5.0,It's always fun watching dropouts pretend to argue science with NASA.
2022-11-29T18:37:59.000Z,19,e5e938456fd1de37139b3f67f472cc914a0dc27eca70019979b3a40c3df7d43b,1.0,"Whenever NASA posts good, peer reviewed science I make sure to read the comments to see what the nut jobs have to say"
2022-11-29T18:29:22.000Z,3,af82bb5df76051d3fdf495151ba14453e2966df2a55f24702a9551e3b4fb1ad8,,Due to more carbon🤦‍♀️
2022-12-15T06:02:09.000Z,3,221aa3f8cebda1b9a88453b44701cd578de94311acca475d3928863693c8c815,5.0,"Maybe if Fox had investigative journalists they would: 1: understand the physics of climate change and the dangers they present! 2: would expose the propaganda of the fossil fuel industry! 3: not mock those like AOC who are trying to make real change!

Here: read this/watch real investigative reporters with hard data and not Fox charlatans!

Watch and learn!

https://www.pbs.org/video/the-power-of-big-oil-part-one-denial-redxh6/"
2022-11-29T20:25:36.000Z,1,c22ffa876019c68f7e91e52463982f46c77ced2b940ac32fe7711ec79faa3104,,"By 2050….12-18 inches as the rate continues to accelerate , glad am 58 and not 28"
2022-11-29T21:33:48.000Z,2,949285743ea80b9e9b167dad354f5a5eaaf1da5b98cdc9fe5a84157ab380a7d0,,You simply can’t mess with science and the data collected by thousands of scientists and researchers. What will it take for politicians to finally take a stance to actually globally combat climate change????
2022-11-29T18:39:45.000Z,5,58681fb15245b9ce795beee3d7c5c46f04921b4eca8f47cef99e0b2325492724,2.0,"Cue the science graduates of the universities of Google, Facebook, & YouTube."
2022-11-29T18:28:44.000Z,3,1bce31c92a6b644967f4a086c8f4a181f25411d1430c325284673c4af1ddd34c,,That’s horrendous
2022-11-29T18:30:13.000Z,0,1733ab9df96a67870d0dd61f528eef0ccd27e18b8d8ff449cd6f6eabead84e5d,2.0,"Say bye bye, Florida."
2022-11-30T04:57:27.000Z,1,fce4a0f9af3b46e87482faa63c7a38172e01e1cff0690805b3626b16953e8df0,,Sustainability VS Stability of climate change solution is a must
2023-12-02T16:41:56.000Z,1,659c632c53addc776a9da0b661e26366474f0bcaed0533b6859f4726f83382f5,1.0,Dutchy Holland maybe you better move up a level in your apartment building
2022-11-29T19:49:25.000Z,12,1e4556b15dd947d0253050130dea1f4b152a8bf628e60e5cda27c3a3f0ce2c1c,23.0,Yet so many westerners don't believe or understand the simple science behind global warming. This is why BigOil still has so much power.
2022-12-05T13:56:09.000Z,0,a692d90a388a604308ba0c84a39deb22b073b0de0aa9ac8d0494894ba3f20c18,,Di pulau Jawa Indonesia sering gempa sekarang
2022-11-30T02:38:06.000Z,0,11ad66ba1a715c96732d126041a7cc3842e0641a3ab69cb7c144395d89844979,,"Andrew Bidi apropo de conversatia noastra, am vazut asta si am zis sa iti arat 😅"
